fid,資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,地点　緯度（北緯）,地点　経度（東経）,曜日(発生年月日),祝日(発生年月日),日の出時刻　　時,日の出時刻　　分,日の入り時刻　　時,日の入り時刻　　分,車両形状等（当事者A）,車両形状等（当事者B）,オートマチック車（当事者A）,オートマチック車（当事者B）,サポカー（当事者A）,サポカー（当事者B）,認知機能検査経過日数（当事者A）,認知機能検査経過日数（当事者B）,運転練習の方法（当事者A）,運転練習の方法（当事者B）,year
2773,1,30,106,8,2,0,1,30000,0,0,102,2019,1,11,12,47,12,1,1,1,1,0,7,8,22,0,23,14,9,30,70,4,2,1,45,35,3,61,31,0,1,0,5,0,10,0,3,0,2,0,2,0,4,2,354030094,1394603764,6,3,,,,,,,,,,,,,,,2019
2775,1,30,106,10,2,0,1,30000,0,0,102,2019,1,18,21,55,22,1,1,1,1,0,1,9,22,0,23,15,9,30,70,4,2,1,65,35,3,61,1,0,1,0,2,0,20,0,3,0,2,0,2,0,4,2,354004740,1394635735,6,3,,,,,,,,,,,,,,,2019
2784,1,30,106,20,2,0,1,95000,0,0,102,2019,1,28,9,50,12,2,1,1,14,0,7,0,23,0,23,3,8,1,70,5,2,1,35,75,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,354010444,1394609674,2,3,,,,,,,,,,,,,,,2019
2785,1,30,106,21,2,0,1,10020,0,0,102,2019,1,10,19,40,22,2,1,1,1,0,1,9,22,0,23,18,9,30,70,4,2,1,1,25,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,354019419,1394550662,5,3,,,,,,,,,,,,,,,2019
2788,1,30,107,3,2,0,1,20000,0,0,102,2019,1,5,15,45,13,1,1,1,14,0,7,0,23,0,23,4,9,1,70,1,1,1,35,1,51,61,0,0,0,0,0,0,40,0,4,0,0,0,0,0,4,2,354008173,1394706900,7,3,,,,,,,,,,,,,,,2019
2791,1,30,107,6,2,0,1,30000,0,0,102,2019,1,7,17,50,22,1,1,1,1,0,1,9,22,0,23,15,9,30,70,5,2,1,1,25,14,61,1,0,11,0,2,0,10,0,3,0,2,0,2,0,4,2,353931815,1394628439,2,3,,,,,,,,,,,,,,,2019
2799,1,30,108,1,2,0,1,30000,0,0,103,2018,12,6,14,0,12,2,1,1,7,0,7,0,23,0,23,3,9,1,70,5,3,1,65,35,3,61,1,0,1,0,10,0,80,0,3,0,2,0,2,0,4,2,353952295,1394528462,5,3,,,,,,,,,,,,,,,2019
2813,1,30,108,15,2,0,1,150,2,29,103,2019,1,24,2,43,22,1,1,1,1,0,1,9,22,0,23,18,9,30,70,1,1,1,75,55,3,61,1,0,1,0,5,0,10,0,1,0,2,0,2,0,4,2,353944964,1394525611,5,3,,,,,,,,,,,,,,,2019
2816,1,30,108,18,2,0,1,30000,0,0,103,2019,1,28,8,25,12,2,1,1,14,0,7,0,23,0,23,4,9,1,70,4,1,1,45,35,51,61,0,0,0,0,0,0,0,0,3,0,0,0,0,0,4,2,353941216,1394501184,2,3,,,,,,,,,,,,,,,2019
2817,1,30,108,19,2,0,1,30000,0,0,103,2019,1,29,18,50,22,1,1,1,1,0,1,9,22,0,23,14,9,30,70,1,1,1,35,1,36,61,31,0,0,0,10,0,10,0,3,0,0,0,0,0,4,2,353934944,1394531181,3,3,,,,,,,,,,,,,,,2019
2822,1,30,109,4,2,0,1,30000,0,0,103,2018,12,31,11,7,12,1,1,1,14,0,7,0,23,0,23,3,9,1,70,5,1,1,65,75,4,61,31,0,1,0,2,0,10,0,3,0,1,0,2,0,4,2,353850532,1394437015,2,2,,,,,,,,,,,,,,,2019
2832,1,30,110,1,2,0,1,20130,0,0,103,2019,1,6,17,25,21,1,1,1,1,0,7,9,22,0,23,14,9,30,70,1,1,1,65,65,3,61,31,0,1,0,4,0,10,0,3,0,2,0,2,0,4,2,353830331,1394310992,1,3,,,,,,,,,,,,,,,2019
2833,1,30,110,2,2,0,1,30000,0,0,103,2019,1,9,22,20,22,1,1,1,14,0,7,0,23,0,23,3,8,1,70,4,2,1,65,55,3,61,1,0,1,0,3,0,40,0,4,0,2,0,2,0,4,2,353807195,1394404361,4,3,,,,,,,,,,,,,,,2019
