fid,資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,上下線,地点コード,市区町村コード,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,天候,地形,路面状態,道路形状,環状交差点の直径,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状（当事者A）,車両形状（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,地点　緯度（北緯）,地点　経度（東経）,曜日(発生年月日),祝日(発生年月日),日の出時刻　　時,日の出時刻　　分,日の入り時刻　　時,日の入り時刻　　分,車両形状等（当事者A）,車両形状等（当事者B）,オートマチック車（当事者A）,オートマチック車（当事者B）,サポカー（当事者A）,サポカー（当事者B）,認知機能検査経過日数（当事者A）,認知機能検査経過日数（当事者B）,運転練習の方法（当事者A）,運転練習の方法（当事者B）,year
316858,1,30,773,183,2,0,1,10290,0,0,107,2019,10,7,18,40,22,3,1,2,1,0,1,9,22,0,23,15,9,30,70,1,2,1,35,45,13,61,31,0,11,0,4,0,10,0,3,0,2,0,2,0,4,2,354203066,1394833704,2,3,,,,,,,,,,,,,,,2019
316869,1,30,773,194,2,0,2,30000,0,0,107,2019,10,30,9,25,12,1,1,1,7,0,7,0,23,0,23,3,9,20,70,4,2,1,65,45,3,61,1,0,1,0,10,0,10,0,3,0,2,0,2,0,4,2,354129413,1394730818,4,3,,,,,,,,,,,,,,,2019
316870,1,30,773,195,2,0,1,20530,0,0,107,2019,11,23,2,15,22,3,1,2,1,0,1,9,22,0,23,18,9,30,70,1,2,1,45,75,3,61,1,0,1,0,10,0,10,0,3,0,2,0,2,0,4,2,354232469,1394842862,7,1,,,,,,,,,,,,,,,2019
316874,1,30,773,199,2,0,1,30000,0,0,107,2019,11,16,11,0,12,1,1,1,1,0,7,9,22,0,23,14,9,30,70,5,3,1,35,25,12,61,1,0,11,0,10,0,40,0,3,0,2,0,2,0,4,2,354154247,1394842998,7,3,,,,,,,,,,,,,,,2019
316878,1,30,773,203,2,0,1,30000,0,0,107,2019,11,27,8,40,12,3,1,2,1,0,7,1,22,0,23,18,9,30,70,4,2,1,55,25,3,61,31,0,1,0,10,0,10,0,3,0,2,0,2,0,4,2,354131974,1394820931,4,3,,,,,,,,,,,,,,,2019
316881,1,30,774,175,2,0,1,60,1,66,107,2019,11,5,7,50,12,1,1,1,1,0,1,9,22,0,23,18,9,30,70,4,2,1,1,35,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,354324719,1394910533,3,3,,,,,,,,,,,,,,,2019
316885,1,30,774,179,2,0,1,99000,0,0,107,2019,11,7,17,5,21,1,1,1,0,0,7,0,23,0,23,0,0,20,70,0,4,1,35,65,51,61,0,0,0,0,0,0,10,0,4,0,0,0,0,0,4,2,354411927,1394918716,5,3,,,,,,,,,,,,,,,2019
316892,1,30,774,186,2,0,1,30500,0,0,107,2019,9,25,10,0,12,1,1,1,14,0,7,0,23,0,23,3,9,1,70,4,2,1,1,65,51,61,0,0,0,0,0,0,40,0,4,0,0,0,0,0,4,2,354315729,1394933298,4,3,,,,,,,,,,,,,,,2019
316898,1,30,774,192,2,0,1,10090,0,0,107,2019,11,23,18,40,22,3,1,2,1,0,1,9,22,0,23,19,9,30,70,1,2,1,65,55,3,61,31,0,1,0,4,0,80,0,3,0,2,0,2,0,4,2,354339177,1394846653,7,1,,,,,,,,,,,,,,,2019
316899,1,30,774,193,2,0,1,95000,0,0,107,2019,11,15,22,30,22,2,1,1,14,0,7,0,23,0,23,4,9,1,70,4,4,1,1,35,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,354414215,1394917099,6,3,,,,,,,,,,,,,,,2019
316905,1,30,774,199,2,0,1,30000,0,0,107,2019,11,23,19,12,22,3,1,2,14,0,7,0,23,0,23,3,9,1,70,5,4,1,35,45,17,61,1,0,11,0,10,0,20,0,3,0,2,0,2,0,4,2,354304248,1394908839,7,1,,,,,,,,,,,,,,,2019
316914,1,30,775,379,2,0,1,30000,0,0,122,2019,11,5,11,50,12,1,1,1,14,0,7,0,23,0,23,2,9,1,70,5,2,1,45,35,3,61,31,0,1,0,1,0,10,0,3,0,2,0,2,0,4,2,354449483,1395046863,3,3,,,,,,,,,,,,,,,2019
316919,1,30,775,384,2,0,1,10130,0,0,122,2019,11,22,18,30,22,3,1,2,1,0,1,9,22,0,23,18,9,30,70,1,1,1,65,35,13,61,31,0,11,0,2,0,50,0,4,0,2,0,2,0,4,2,354510368,1395121937,6,2,,,,,,,,,,,,,,,2019
316923,1,30,775,388,2,0,1,30000,0,0,122,2019,11,16,16,20,13,1,1,1,14,0,7,0,23,0,23,2,9,1,70,5,2,1,45,1,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,354617225,1395155391,7,3,,,,,,,,,,,,,,,2019
316935,1,30,776,287,2,0,1,30000,0,0,122,2019,11,8,9,16,12,1,1,1,14,0,7,0,23,0,23,2,9,1,70,5,4,1,35,55,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,354418596,1395059702,6,3,,,,,,,,,,,,,,,2019
316942,1,30,776,294,2,0,1,30000,0,0,122,2019,10,31,11,32,12,1,1,1,1,0,1,9,22,0,23,11,9,30,70,4,2,1,45,65,3,61,31,0,1,0,3,0,20,0,3,0,2,0,2,0,4,2,354440213,1395113128,5,3,,,,,,,,,,,,,,,2019
316952,1,30,776,304,2,0,1,30000,0,0,122,2019,11,22,19,45,22,3,1,2,14,0,7,0,23,0,23,2,9,1,70,5,4,1,35,45,34,61,31,0,0,0,3,0,10,0,3,0,0,0,0,0,4,2,354417703,1395128645,6,2,,,,,,,,,,,,,,,2019
316957,1,30,776,309,2,0,1,30000,0,0,122,2019,11,30,9,20,12,1,1,1,1,0,7,1,22,0,23,11,9,30,70,5,3,1,65,75,13,61,31,0,11,0,3,0,10,0,3,0,2,0,2,0,4,2,354441136,1395118295,7,3,,,,,,,,,,,,,,,2019
316969,1,30,777,808,2,0,1,20700,0,0,123,2019,10,11,14,15,12,2,1,1,7,0,1,0,23,0,23,1,9,1,70,4,2,1,45,55,3,61,31,0,1,0,2,0,10,0,3,0,2,0,2,0,4,2,354055801,1395321400,6,3,,,,,,,,,,,,,,,2019
316986,1,30,777,825,2,0,1,30000,0,0,123,2019,11,7,15,30,12,1,1,1,1,0,1,9,22,0,23,11,9,30,70,4,2,1,35,45,17,61,31,0,11,0,2,0,10,0,3,0,2,0,2,0,4,2,354226887,1395405283,5,3,,,,,,,,,,,,,,,2019
316988,1,30,777,827,2,0,1,30000,0,0,123,2019,11,8,16,0,13,1,1,1,1,0,7,9,22,0,23,15,9,30,70,5,2,1,65,1,14,61,31,0,11,0,2,0,10,0,3,0,2,0,2,0,4,2,354213539,1395159468,6,3,,,,,,,,,,,,,,,2019
316997,1,30,777,836,2,0,1,30000,0,0,123,2019,11,11,6,10,23,3,1,2,1,0,1,9,22,0,23,15,9,30,70,1,2,1,35,35,3,61,31,0,1,0,3,0,10,0,3,0,2,0,2,0,4,2,354156409,1395203701,2,3,,,,,,,,,,,,,,,2019
317013,1,30,777,852,2,0,1,10390,0,0,123,2019,11,18,18,20,22,1,1,1,1,0,1,9,22,0,23,14,9,30,70,4,2,1,55,45,3,61,31,0,1,0,3,0,40,0,3,0,2,0,2,0,4,2,354207944,1395204937,2,3,,,,,,,,,,,,,,,2019
317023,1,30,777,862,2,0,1,30000,0,0,123,2019,11,22,17,32,22,3,1,2,1,0,1,9,22,0,23,14,9,30,70,4,2,1,45,65,4,61,31,0,1,0,2,0,10,0,3,0,2,0,2,0,4,2,354150257,1395325944,6,2,,,,,,,,,,,,,,,2019
317026,1,30,777,865,2,0,1,10290,0,0,123,2019,11,11,6,0,23,3,1,2,1,0,1,9,22,0,23,14,9,30,70,1,1,1,25,75,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,354228355,1395028549,2,3,,,,,,,,,,,,,,,2019
317030,1,30,777,869,2,0,1,30000,0,0,123,2019,11,23,9,55,12,3,1,2,13,0,7,0,23,0,23,1,3,20,70,5,4,1,65,65,3,61,31,0,1,0,5,0,20,0,3,0,2,0,2,0,4,2,354211029,1395258514,7,1,,,,,,,,,,,,,,,2019
317033,1,30,777,872,2,0,1,30000,0,0,123,2019,11,8,7,53,12,1,1,1,1,0,1,9,22,0,23,14,9,30,70,5,1,1,35,55,3,61,31,0,1,0,2,0,10,0,4,0,2,0,2,0,4,2,354219727,1395148896,6,3,,,,,,,,,,,,,,,2019
317034,1,30,777,873,2,0,1,10130,0,0,123,2019,11,27,12,25,12,3,1,2,1,0,1,9,22,0,23,14,9,30,70,1,2,1,55,75,3,61,31,0,1,0,4,0,0,0,4,0,2,0,2,0,4,2,354222663,1395250037,4,3,,,,,,,,,,,,,,,2019
317039,1,30,777,878,2,0,1,30000,0,0,123,2019,11,29,16,57,21,1,1,1,7,0,7,0,23,0,23,2,9,1,70,4,2,1,25,55,13,61,31,0,11,0,5,0,10,0,3,0,2,0,2,0,4,2,354208587,1395422035,6,3,,,,,,,,,,,,,,,2019
317040,1,30,777,879,2,0,1,10060,0,0,123,2019,11,29,19,40,22,1,1,1,7,0,1,0,23,0,23,1,9,1,70,4,2,1,45,25,14,61,1,0,11,0,5,0,10,0,3,0,2,0,2,0,4,2,354059222,1395315691,6,3,,,,,,,,,,,,,,,2019
317048,1,30,778,170,2,0,1,30000,0,0,123,2019,8,11,18,30,13,1,1,1,14,0,7,0,23,0,23,3,9,1,70,5,2,1,45,75,13,61,31,0,11,0,5,0,40,0,4,0,2,0,2,0,4,2,354410034,1395256320,1,1,,,,,,,,,,,,,,,2019
317049,1,30,778,171,2,0,1,141,1,0,123,2019,9,9,17,0,13,1,1,1,1,0,1,9,22,0,23,18,9,30,70,1,1,1,75,75,3,61,31,0,1,0,4,0,10,0,4,0,2,0,2,0,4,2,354356825,1395234030,2,3,,,,,,,,,,,,,,,2019
317064,1,30,778,186,2,0,1,30000,0,0,123,2019,11,22,0,28,22,1,1,1,7,0,7,0,23,0,23,3,9,1,70,4,2,1,45,45,3,61,1,0,1,0,10,0,40,0,3,0,2,0,2,0,4,2,354403202,1395259048,6,2,,,,,,,,,,,,,,,2019
317080,1,30,779,451,2,0,1,30000,0,0,123,2019,10,2,16,20,12,1,1,1,14,0,7,0,23,0,23,3,9,1,70,4,1,1,1,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,353931493,1395120775,4,3,,,,,,,,,,,,,,,2019
317083,1,30,779,454,2,0,1,10390,0,0,123,2019,10,24,21,23,22,3,1,2,1,0,7,9,22,0,23,14,9,30,70,4,2,1,25,25,34,61,31,0,0,0,3,0,10,0,3,0,0,0,0,0,4,2,354040254,1395137822,5,3,,,,,,,,,,,,,,,2019
317084,1,30,779,455,2,0,1,30000,0,0,123,2019,10,25,8,15,12,3,1,2,14,0,7,0,23,0,23,3,9,1,70,4,2,1,35,65,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,353913433,1395235692,6,3,,,,,,,,,,,,,,,2019
317085,1,30,779,456,2,0,1,30000,0,0,123,2019,11,2,18,30,22,1,1,1,14,0,7,0,23,0,23,3,9,1,70,5,2,1,1,45,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,353931203,1395208582,7,2,,,,,,,,,,,,,,,2019
317088,1,30,779,459,2,0,1,30000,0,0,123,2019,11,4,18,10,22,1,1,1,1,0,1,9,22,0,23,15,9,30,70,4,2,1,1,25,51,61,0,0,0,0,0,0,40,0,3,0,0,0,0,0,4,2,354000527,1395134191,2,1,,,,,,,,,,,,,,,2019
317089,1,30,779,460,2,0,1,10130,0,0,123,2019,11,5,6,33,11,1,1,1,1,0,8,9,22,0,23,19,9,30,70,1,1,1,65,45,1,61,1,0,1,0,4,0,40,0,3,0,2,0,2,0,4,2,353937001,1395221441,3,3,,,,,,,,,,,,,,,2019
317094,1,30,779,465,2,0,1,30000,0,0,123,2019,11,6,22,40,22,1,1,1,1,0,7,1,21,0,23,15,9,30,70,4,2,1,65,35,3,61,1,0,1,0,2,0,10,0,3,0,2,0,2,0,4,2,353944909,1395219448,4,3,,,,,,,,,,,,,,,2019
317098,1,30,779,469,2,0,1,30000,0,0,123,2019,11,4,18,35,22,1,1,1,1,0,1,9,22,0,23,14,9,30,70,4,2,1,45,45,14,61,31,0,11,0,3,0,50,0,3,0,2,0,2,0,4,2,354021978,1395153322,2,1,,,,,,,,,,,,,,,2019
317099,1,30,779,470,2,0,1,30000,0,0,123,2019,11,11,6,5,23,3,1,2,1,0,1,9,22,0,23,17,9,30,70,1,1,1,65,55,12,61,1,0,11,0,3,0,10,0,3,0,2,0,2,0,4,2,353900263,1395145866,2,3,,,,,,,,,,,,,,,2019
317100,1,30,779,471,2,0,1,30000,0,0,123,2019,11,11,17,5,21,3,1,2,14,0,7,0,23,0,23,4,9,1,70,4,2,1,25,75,13,61,31,0,11,0,3,0,10,0,4,0,2,0,2,0,4,2,354023126,1395218873,2,3,,,,,,,,,,,,,,,2019
317102,1,30,779,473,2,0,1,30000,0,0,123,2019,11,11,19,25,22,2,1,1,1,0,7,1,22,0,23,14,9,30,70,4,2,1,25,75,3,61,31,0,1,0,2,0,50,0,3,0,2,0,2,0,4,2,354018663,1395122014,2,3,,,,,,,,,,,,,,,2019
317103,1,30,779,474,2,0,1,30000,0,0,123,2019,11,13,6,45,11,1,1,1,7,0,7,0,23,0,23,2,9,1,70,5,4,1,1,65,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,354007980,1395252927,4,3,,,,,,,,,,,,,,,2019
317106,1,30,779,477,2,0,1,20000,0,0,123,2019,11,16,8,50,12,1,1,1,1,0,1,9,22,0,23,15,9,30,70,1,1,1,45,25,36,61,31,0,0,0,2,0,10,0,3,0,0,0,0,0,4,2,354102943,1395219429,7,3,,,,,,,,,,,,,,,2019
317114,1,30,779,485,2,0,1,30000,0,0,123,2019,11,21,15,20,12,1,1,1,14,0,7,0,23,0,23,3,9,1,70,5,2,1,25,1,13,61,1,0,11,0,2,0,10,0,3,0,2,0,2,0,4,2,354053262,1395244841,5,3,,,,,,,,,,,,,,,2019
317122,1,30,779,493,2,0,1,30000,0,0,123,2019,11,28,11,55,12,3,1,2,1,0,1,9,22,0,23,14,9,30,70,4,2,1,45,65,4,61,31,0,1,0,2,0,20,0,3,0,2,0,2,0,4,2,354012903,1395159743,5,3,,,,,,,,,,,,,,,2019
317123,1,30,779,494,2,0,1,30000,0,0,123,2019,11,28,17,15,21,3,1,2,1,0,1,9,22,0,23,17,9,30,70,4,2,1,55,55,14,61,31,0,11,0,2,0,10,0,3,0,2,0,2,0,4,2,354027085,1395157889,5,3,,,,,,,,,,,,,,,2019
317129,1,30,876,395,1,1,0,21110,0,0,201,2019,11,2,4,5,22,1,1,1,1,0,1,9,22,0,23,18,9,30,70,5,2,1,35,45,3,61,31,0,1,0,4,0,80,0,2,0,2,0,2,0,4,1,353658977,1392259410,7,2,,,,,,,,,,,,,,,2019
317132,1,30,876,398,2,0,1,30820,0,0,209,2019,11,3,18,20,22,2,1,1,1,0,1,9,22,0,23,15,9,30,70,4,1,1,65,35,4,61,31,0,1,0,3,0,10,0,3,0,2,0,2,0,4,2,353548443,1392308739,1,1,,,,,,,,,,,,,,,2019
317137,1,30,876,403,2,0,1,30000,0,0,201,2019,11,6,11,2,12,1,1,1,1,0,7,9,22,0,23,15,7,30,70,5,2,1,45,1,3,61,31,0,1,0,3,0,10,0,3,0,2,0,2,0,4,2,353710995,1392206450,4,3,,,,,,,,,,,,,,,2019
317138,1,30,876,404,2,0,1,30000,0,0,201,2019,11,7,19,0,22,1,1,1,14,0,7,0,23,0,23,2,9,1,70,4,2,1,65,25,14,61,31,0,11,0,3,0,50,0,2,0,2,0,2,0,4,2,353627834,1392255344,5,3,,,,,,,,,,,,,,,2019
317139,1,30,876,405,2,0,1,20000,0,0,201,2019,11,8,10,55,12,1,1,1,1,0,1,9,22,0,23,18,9,30,70,1,2,1,75,55,4,61,31,0,1,0,3,0,10,0,3,0,2,0,2,0,4,2,353654309,1392234291,6,3,,,,,,,,,,,,,,,2019
317145,1,30,876,411,2,0,1,95000,0,0,201,2019,11,14,15,20,12,1,1,1,0,0,7,0,23,0,23,0,0,20,70,0,4,1,45,25,4,61,31,0,1,0,10,0,30,0,3,0,2,0,2,0,4,2,353645199,1392209825,5,3,,,,,,,,,,,,,,,2019
317147,1,30,876,413,2,0,1,30000,0,0,201,2019,11,16,7,30,12,1,2,1,1,0,7,9,22,0,23,11,9,30,70,5,3,1,65,45,14,61,31,0,11,0,2,0,50,0,3,0,2,0,2,0,4,2,353828290,1391933697,7,3,,,,,,,,,,,,,,,2019
317151,1,30,876,417,2,0,1,30000,0,0,201,2019,11,20,5,45,23,1,1,1,1,0,1,9,22,0,23,17,9,30,70,1,2,1,65,65,3,61,31,0,1,0,3,0,50,0,3,0,2,0,2,0,4,2,353829575,1391907892,4,3,,,,,,,,,,,,,,,2019
317155,1,30,876,421,2,0,1,30000,0,0,201,2019,11,26,16,35,21,2,1,2,1,0,7,9,22,0,23,14,8,30,70,4,2,1,55,1,3,61,31,0,1,0,3,0,10,0,3,0,2,0,2,0,4,2,353728254,1392348885,3,3,,,,,,,,,,,,,,,2019
317157,1,30,876,423,2,0,1,30000,0,0,201,2019,11,30,17,0,21,1,1,1,14,0,7,0,23,0,23,4,9,1,70,4,2,1,45,75,35,61,31,0,0,0,3,0,10,0,3,0,0,0,0,0,4,2,353813770,1392513259,7,3,,,,,,,,,,,,,,,2019
317164,1,30,877,277,2,0,1,95000,0,0,201,2019,4,18,10,10,12,1,3,1,0,0,7,0,23,0,23,0,0,20,70,0,4,1,55,75,3,61,31,0,1,0,10,0,30,0,4,0,2,0,2,0,4,2,353840099,1391700150,5,3,,,,,,,,,,,,,,,2019
317166,1,30,877,279,2,0,1,99000,0,0,201,2019,11,2,11,8,12,1,2,1,0,0,7,0,23,0,23,0,0,20,70,0,4,1,45,75,3,61,31,0,1,0,10,0,30,0,4,0,2,0,2,0,4,2,353808695,1391701653,7,2,,,,,,,,,,,,,,,2019
317169,1,30,877,282,2,0,1,30000,0,0,201,2019,11,5,18,55,22,1,2,1,1,0,7,9,22,0,23,11,9,30,70,5,3,1,35,75,3,61,31,0,1,0,5,0,50,0,3,0,2,0,2,0,4,2,353846578,1391743299,3,3,,,,,,,,,,,,,,,2019
317171,1,30,877,284,2,0,1,20730,0,0,201,2019,11,10,17,35,21,1,2,1,1,0,1,9,22,0,23,14,9,30,70,4,2,1,45,45,4,61,31,0,1,0,3,0,10,0,3,0,2,0,2,0,4,2,354018176,1391750888,1,3,,,,,,,,,,,,,,,2019
317175,1,30,877,288,2,0,1,30000,0,0,201,2019,11,15,15,0,12,1,2,1,1,0,7,9,22,0,23,15,9,30,70,5,3,1,55,55,14,61,31,0,11,0,2,0,10,0,3,0,2,0,2,0,4,2,353907222,1391815281,6,3,,,,,,,,,,,,,,,2019
317181,1,30,877,294,2,0,1,30000,0,0,201,2019,11,28,7,8,11,3,1,2,14,0,7,0,23,0,23,3,9,1,70,4,1,1,35,45,51,61,0,0,0,0,0,0,10,0,3,0,0,0,0,0,4,2,353924152,1391727977,5,3,,,,,,,,,,,,,,,2019
317182,1,30,877,295,2,0,1,200,1,503,201,2019,11,28,8,15,12,3,2,2,14,0,7,0,23,0,23,5,9,1,70,4,2,1,45,65,3,61,31,0,1,0,4,0,10,0,3,0,2,0,2,0,4,2,353839103,1391700774,5,3,,,,,,,,,,,,,,,2019
317183,1,30,877,296,2,0,1,30000,0,0,201,2019,11,22,20,40,22,3,2,2,1,0,1,9,22,0,23,15,9,30,70,4,2,1,25,35,4,61,31,0,1,0,2,0,10,0,4,0,2,0,2,0,4,2,353925123,1391753798,6,2,,,,,,,,,,,,,,,2019
317195,1,30,878,395,2,0,1,30000,0,0,224,2019,11,9,18,34,22,1,1,1,14,0,7,0,23,0,23,3,9,1,70,5,3,1,35,1,51,61,0,0,0,0,0,0,10,0,4,0,0,0,0,0,4,2,353734166,1392535283,7,3,,,,,,,,,,,,,,,2019
317197,1,30,878,397,2,0,1,20000,0,0,224,2019,11,10,13,35,12,1,1,1,1,0,1,9,22,0,23,19,9,30,70,1,2,1,75,1,3,61,31,0,1,0,3,0,10,0,3,0,2,0,2,0,4,2,353724568,1392522851,1,3,,,,,,,,,,,,,,,2019
317203,1,30,878,403,2,0,1,95000,0,0,224,2019,11,9,2,0,22,1,2,1,14,0,7,0,23,0,23,1,9,20,70,5,2,1,45,1,3,61,31,0,1,0,5,0,30,0,3,0,2,0,2,0,4,2,353902947,1392653393,7,3,,,,,,,,,,,,,,,2019
317208,1,30,878,408,2,0,1,30000,0,0,225,2019,10,19,21,40,22,2,1,1,1,0,7,1,21,0,23,11,9,30,70,5,2,1,45,25,3,61,31,0,1,0,2,0,10,0,3,0,2,0,2,0,4,2,353837536,1393015286,7,3,,,,,,,,,,,,,,,2019
317210,1,30,878,410,2,0,1,21110,0,0,224,2019,11,19,11,10,12,1,2,1,1,0,1,9,22,0,23,19,9,30,70,1,2,1,25,25,12,61,1,0,11,0,10,0,80,0,3,0,2,0,2,0,4,2,353804382,1392647282,3,3,,,,,,,,,,,,,,,2019
317214,1,30,878,414,2,0,1,30000,0,0,224,2019,11,21,9,5,12,1,1,1,1,0,1,8,22,0,23,15,9,30,70,4,2,1,75,55,4,61,31,0,1,0,2,0,10,0,4,0,2,0,2,0,4,2,353647700,1392605953,5,3,,,,,,,,,,,,,,,2019
317218,1,30,878,418,2,0,1,30000,0,0,225,2019,11,17,17,51,22,1,2,1,14,0,7,0,23,0,23,3,7,1,70,6,2,1,65,65,3,61,31,0,1,0,2,0,10,0,3,0,2,0,2,0,4,2,353722881,1392815868,1,3,,,,,,,,,,,,,,,2019
317220,1,30,878,420,2,0,1,30000,0,0,225,2019,11,22,19,30,22,3,2,2,14,0,7,0,23,0,23,3,9,1,70,5,3,1,35,25,36,61,31,0,0,0,10,0,10,0,3,0,0,0,0,0,4,2,353856986,1393000067,6,2,,,,,,,,,,,,,,,2019
317229,1,30,878,429,2,0,1,30000,0,0,224,2019,11,30,5,10,22,1,2,1,1,0,1,9,22,0,23,15,9,30,70,4,2,1,65,35,3,61,31,0,1,0,3,0,10,0,3,0,2,0,2,0,4,2,353807343,1392610143,7,3,,,,,,,,,,,,,,,2019
317232,1,30,878,432,2,0,1,30000,0,0,225,2019,11,29,18,45,22,1,2,1,1,0,1,9,22,0,23,19,9,30,70,4,2,1,65,45,3,61,31,0,1,0,2,0,40,0,4,0,2,0,2,0,4,2,353827104,1393031439,6,3,,,,,,,,,,,,,,,2019
317233,1,30,878,433,2,0,1,30000,0,0,224,2019,11,25,18,50,22,3,1,1,1,0,1,9,21,0,23,18,4,30,70,1,2,1,55,1,17,61,31,0,11,0,3,0,50,0,4,0,2,0,2,0,4,2,353804960,1392632475,2,3,,,,,,,,,,,,,,,2019
317239,1,30,879,393,2,0,1,95000,0,0,220,2019,11,2,11,45,12,1,1,1,0,0,7,0,23,0,23,0,0,20,70,0,4,1,35,75,12,61,31,0,11,0,10,0,21,0,4,0,2,0,2,0,4,2,354410639,1392522997,7,2,,,,,,,,,,,,,,,2019
317259,1,30,879,413,2,0,1,30000,0,0,220,2019,11,14,16,25,13,1,1,1,14,0,7,0,23,0,23,3,9,1,70,5,3,1,75,1,4,61,31,0,1,0,2,0,80,0,3,0,2,0,2,0,4,2,354414127,1392555822,5,3,,,,,,,,,,,,,,,2019
317262,1,30,879,416,2,0,1,10240,0,0,223,2019,11,16,13,0,12,1,1,1,7,0,7,0,23,0,23,2,9,1,70,4,2,1,35,1,4,61,31,0,1,0,3,0,10,0,3,0,2,0,2,0,4,2,354532691,1392240543,7,3,,,,,,,,,,,,,,,2019
317264,1,30,879,418,2,0,1,30000,0,0,223,2019,11,17,15,15,12,1,1,1,1,0,1,9,22,0,23,14,9,30,70,4,2,1,55,45,3,61,31,0,1,0,3,0,10,0,3,0,2,0,2,0,4,2,354518729,1392306319,1,3,,,,,,,,,,,,,,,2019
317268,1,30,879,422,2,0,1,30000,0,0,223,2019,11,21,6,55,11,1,1,1,1,0,1,9,22,0,23,11,9,30,70,5,1,1,45,25,3,61,31,0,1,0,2,0,10,0,3,0,2,0,2,0,4,2,354406383,1392430071,5,3,,,,,,,,,,,,,,,2019
317271,1,30,879,425,2,0,1,30000,0,0,220,2019,11,22,17,5,21,3,1,2,1,0,1,9,22,0,23,15,9,30,70,4,2,1,35,75,4,61,31,0,1,0,3,0,50,0,3,0,2,0,2,0,4,2,354411955,1392628644,6,2,,,,,,,,,,,,,,,2019
317275,1,30,879,429,2,0,1,30000,0,0,220,2019,11,23,18,0,22,3,2,2,1,0,1,9,22,0,23,18,9,30,70,4,2,1,35,25,4,61,31,0,1,0,3,0,50,0,4,0,2,0,2,0,4,2,354402544,1392558941,7,1,,,,,,,,,,,,,,,2019
317286,1,30,880,290,2,0,1,10240,0,0,308,2019,11,6,9,17,12,1,2,1,1,0,1,9,22,0,23,15,9,30,70,4,2,1,55,75,14,61,31,0,11,0,2,0,80,0,4,0,2,0,2,0,4,2,354829606,1390549793,4,3,,,,,,,,,,,,,,,2019
317295,1,30,880,299,2,0,1,30000,0,0,205,2019,11,14,8,0,12,1,2,1,1,0,7,1,21,0,23,14,7,30,70,5,4,1,65,35,3,61,31,0,1,0,10,0,10,0,4,0,2,0,2,0,4,2,354716712,1391541045,5,3,,,,,,,,,,,,,,,2019
317296,1,30,880,300,2,0,1,30000,0,0,205,2019,11,14,11,5,12,1,2,1,14,0,7,0,23,0,23,2,9,1,70,5,4,1,55,55,4,61,31,0,1,0,5,0,10,0,3,0,2,0,2,0,4,2,354806488,1391310438,5,3,,,,,,,,,,,,,,,2019
317302,1,30,880,306,2,0,1,30000,0,0,205,2019,11,18,10,30,12,1,1,1,1,0,3,9,22,0,23,15,9,30,70,5,3,1,55,35,3,61,31,0,1,0,2,0,10,0,3,0,2,0,2,0,4,2,354829975,1391812226,2,3,,,,,,,,,,,,,,,2019
317307,1,30,880,311,2,0,1,30000,0,0,205,2019,11,20,18,20,22,1,2,1,14,0,7,0,23,0,23,1,9,1,70,5,4,1,25,75,14,61,31,0,11,0,10,0,60,0,4,0,2,0,2,0,4,2,354749984,1391327264,4,3,,,,,,,,,,,,,,,2019
317309,1,30,880,313,2,0,1,30000,0,0,205,2019,11,21,17,10,21,1,2,1,1,0,1,9,22,0,23,15,9,30,70,4,2,1,35,55,4,61,31,0,1,0,3,0,10,0,3,0,2,0,2,0,4,2,354709811,1391710058,5,3,,,,,,,,,,,,,,,2019
317315,1,30,880,319,2,0,1,30000,0,0,205,2019,11,26,15,25,12,2,2,1,1,0,1,9,22,0,23,18,9,30,70,4,2,1,65,75,3,61,31,0,1,0,3,0,10,0,4,0,2,0,2,0,4,2,354733099,1391812633,3,3,,,,,,,,,,,,,,,2019
